Date,Cases
03/11/20,47708817
04/11/20,48200961
05/11/20,48820295
06/11/20,49443478
07/11/20,50042669
08/11/20,50533518
09/11/20,51043324
10/11/20,51614069
11/11/20,52238734
12/11/20,52878929
13/11/20,53539863
14/11/20,54126889
15/11/20,54617117
16/11/20,55142751
17/11/20,55745063
18/11/20,56367328
19/11/20,57021314
20/11/20,57695345
21/11/20,58287916
22/11/20,58785996
23/11/20,59320006
24/11/20,59910792
25/11/20,60527871
26/11/20,61117132
27/11/20,61812474
28/11/20,62420041
29/11/20,62915662
30/11/20,63422239
01/12/20,64037142
02/12/20,64677389
03/12/20,65367986
04/12/20,66064345
05/12/20,66706697
06/12/20,67250638
07/12/20,67785484
08/12/20,68416150
09/12/20,69081500
10/12/20,70576907
11/12/20,71282658
12/12/20,71931348
13/12/20,72470142
14/12/20,73021298
15/12/20,73669919
16/12/20,74387461
17/12/20,75126063
18/12/20,75847501
19/12/20,76483006
20/12/20,77030307
21/12/20,77576529
22/12/20,78227986
23/12/20,78910081
24/12/20,79603472
25/12/20,80096696
26/12/20,80629340
27/12/20,81042534
28/12/20,81541719
29/12/20,82213594
30/12/20,82938894
31/12/20,83778622
01/01/21,84342314
02/01/21,84946690
03/01/21,85467020
04/01/21,86024461
05/01/21,86765351
06/01/21,87556264
07/01/21,88426222
08/01/21,89261637
09/01/21,90017904
10/01/21,90619443
11/01/21,91233917
12/01/21,91926453
13/01/21,92669726
14/01/21,93428784
15/01/21,94212637
16/01/21,94869509
17/01/21,95397119
18/01/21,95914366
19/01/21,96507148
20/01/21,97194354
21/01/21,97863110
22/01/21,98526596
23/01/21,99103312
24/01/21,99565294
25/01/21,100046846
26/01/21,100608158
27/01/21,101209122
28/01/21,101824237
29/01/21,102413219
30/01/21,102928083
31/01/21,103324692
01/02/21,103767694
02/02/21,104233148
03/02/21,104758397
04/02/21,105230171
05/02/21,105766676
06/02/21,106201874
07/02/21,106553422
08/02/21,106893339
09/02/21,107300629
10/02/21,107741093
11/02/21,108184860
12/02/21,108614449
13/02/21,108994937
14/02/21,109303582
15/02/21,109584404
16/02/21,109944197
17/02/21,110330576
18/02/21,110741376
19/02/21,111151038
20/02/21,111526248
21/02/21,111845811
22/02/21,112141380
23/02/21,112534122
24/02/21,112979052
25/02/21,113432016
26/02/21,113873956
27/02/21,114270693
28/02/21,114578478
01/03/21,114883979
02/03/21,115197242
03/03/21,115639088
04/03/21,116097496
05/03/21,116546593
06/03/21,116960620
07/03/21,117335064
08/03/21,117640533
09/03/21,118054577
10/03/21,118513444
11/03/21,119003124
12/03/21,119492372
13/03/21,119947968
14/03/21,120313043
15/03/21,120667127
16/03/21,121134161
17/03/21,121679877
18/03/21,122227806
19/03/21,122790345
20/03/21,123288792
21/03/21,123729261
22/03/21,124150452
23/03/21,124656291
24/03/21,125285990
25/03/21,125938183
26/03/21,126578225
27/03/21,127162758
28/03/21,127655412
29/03/21,128114688
30/03/21,128676894
31/03/21,129350790
01/04/21,130060609
02/04/21,130705394
03/04/21,131245744
04/04/21,131805666
05/04/21,132302655
06/04/21,132910149
07/04/21,133573288
08/04/21,134409344
09/04/21,135156662
10/04/21,135827306
11/04/21,136536918
12/04/21,137150764
13/04/21,137914588
14/04/21,138725902
15/04/21,139547133
16/04/21,140406983
17/04/21,141200970
18/04/21,141901080
19/04/21,142592012
20/04/21,143431609
21/04/21,144320851
22/04/21,145220252
23/04/21,146127911
24/04/21,146952141
25/04/21,147680627
26/04/21,148369677
27/04/21,149208799
28/04/21,150107590
29/04/21,151001625
30/04/21,151892994
01/05/21,152687904
02/05/21,153375175
03/05/21,154065632
04/05/21,154850588
05/05/21,155692589
06/05/21,156565435
07/05/21,157400261
08/05/21,158188559
09/05/21,158837968
10/05/21,159463612
11/05/21,160189411
12/05/21,160956898
13/05/21,161691597
14/05/21,162401162
15/05/21,163032774
16/05/21,163579396
17/05/21,164122938
18/05/21,164742576
19/05/21,165414621
20/05/21,165696927
21/05/21,166323402
22/05/21,166895763
23/05/21,167377386
24/05/21,167828464
25/05/21,168361871
26/05/21,168930299
27/05/21,169477196
28/05/21,169982707
29/05/21,170463127
30/05/21,170853074
31/05/21,171240130
01/06/21,171700134
02/06/21,172187762
03/06/21,172668261
04/06/21,173093152
05/06/21,173489803
06/06/21,173812784
07/06/21,174134551
08/06/21,174504668
09/06/21,174922960
10/06/21,175376464
11/06/21,175798501
12/06/21,176166881
13/06/21,176469682
14/06/21,176778984
15/06/21,177153741
16/06/21,177542916
17/06/21,177938911
18/06/21,178342418
19/06/21,178689716
20/06/21,178994480
21/06/21,179291135
22/06/21,179701349
23/06/21,180097972
24/06/21,180507231
25/06/21,180924899
26/06/21,181287796
27/06/21,181599032
28/06/21,181932050
29/06/21,182313258
30/06/21,182712726
01/07/21,183148268
02/07/21,183590610
03/07/21,183964437
04/07/21,184292181
05/07/21,184670098
06/07/21,185120629
07/07/21,185585871
08/07/21,186067750
09/07/21,186580986
10/07/21,187002099
11/07/21,187371991
12/07/21,187806155
13/07/21,188331814
14/07/21,188869796
15/07/21,189446223
16/07/21,190042161
17/07/21,190531011
18/07/21,190951220
19/07/21,191440687
20/07/21,191973106
21/07/21,192529214
22/07/21,193094403
23/07/21,193822543
24/07/21,194254462
25/07/21,194700076
26/07/21,195240703
27/07/21,195847033
28/07/21,196497116
29/07/21,197139985
30/07/21,197872339
31/07/21,198389684
01/08/21,198872752
02/08/21,199443855
03/08/21,200078130
04/08/21,200758588
05/08/21,201444210
06/08/21,202263736
07/08/21,202825005
08/08/21,203292722
09/08/21,203911805
10/08/21,204557617
11/08/21,205288310
12/08/21,205994052
13/08/21,206795847
14/08/21,207348758
15/08/21,207815449
16/08/21,208479793
17/08/21,209162480
18/08/21,209898123
19/08/21,210609857
20/08/21,211395070
21/08/21,211954124
22/08/21,212402204
23/08/21,213086398
24/08/21,213763171
25/08/21,214500582
26/08/21,215237031
27/08/21,215988154
28/08/21,216545334
29/08/21,216992164
30/08/21,217664015
31/08/21,218284677
01/09/21,219003757
02/09/21,219680532
03/09/21,220404105
04/09/21,220900816
05/09/21,221347788
06/09/21,221825561
07/09/21,222482051
08/09/21,223119762
09/09/21,223759907
10/09/21,224418618
11/09/21,224887140
12/09/21,225258543
13/09/21,225836445
14/09/21,226386274
15/09/21,226953125
16/09/21,227540479
17/09/21,228163698
18/09/21,228687569
19/09/21,229050966
20/09/21,229581157
21/09/21,230069837
22/09/21,230604815
23/09/21,231152445
24/09/21,231701691
25/09/21,232075693
26/09/21,232431512
27/09/21,232914281
28/09/21,233365258
29/09/21,233856235
30/09/21,234346132
01/10/21,234868134
02/10/21,235218776
03/10/21,235527819
04/10/21,235974883
05/10/21,236397732
06/10/21,236904785
07/10/21,237366619
08/10/21,237842039
09/10/21,238182243
10/10/21,238498696
11/10/21,238886684
12/10/21,239324892
13/10/21,239781314
14/10/21,240234710
15/10/21,240692696
16/10/21,241034054
17/10/21,241347355
18/10/21,241775141
19/10/21,242206709
20/10/21,242683018
21/10/21,243145068
22/10/21,243637892
23/10/21,244008150
24/10/21,244317353
25/10/21,244769753
26/10/21,245196224
27/10/21,245710221
28/10/21,246193247
29/10/21,246687330
30/10/21,247061943
31/10/21,247410790
01/11/21,247868435
02/11/21,248272884
03/11/21,248797676
04/11/21,249315133
05/11/21,249839415
06/11/21,250245164
07/11/21,250585863
08/11/21,251110911
09/11/21,251580325
10/11/21,252153854
11/11/21,252674737
12/11/21,253274490
13/11/21,253670214
14/11/21,254018493
15/11/21,254620079
16/11/21,255126904
17/11/21,255742113
18/11/21,256363770
19/11/21,256978407
20/11/21,257416423
21/11/21,257796215
22/11/21,258500870
23/11/21,259093463
24/11/21,259751368
25/11/21,260348589
26/11/21,260962280
27/11/21,261381085
28/11/21,261770875
29/11/21,262513214
30/11/21,263113681
01/12/21,263816145
02/12/21,264523382
03/12/21,265254220
04/12/21,265726430
05/12/21,266146231
06/12/21,266849953
07/12/21,267489200
08/12/21,268200544
09/12/21,268898928
10/12/21,269592462
11/12/21,270059366
12/12/21,270485916
13/12/21,271179799
14/12/21,271816596
15/12/21,272556770
16/12/21,273300997
17/12/21,274068563
18/12/21,274598505
19/12/21,275083461
20/12/21,275893527
21/12/21,276652188
22/12/21,277566671
23/12/21,278578699
24/12/21,279434799
25/12/21,280116791
26/12/21,280692270
27/12/21,282033889
28/12/21,283370260
29/12/21,285075127
30/12/21,287025253
31/12/21,288728291
01/01/22,289931428
02/01/22,290849939
03/01/22,293188320
04/01/22,295801747
05/01/22,298385756
06/01/22,301054978
07/01/22,304008616
08/01/22,306145200
09/01/22,308150282
10/01/22,311401997
11/01/22,314432404
12/01/22,317879058
13/01/22,321066163
14/01/22,324382616
15/01/22,326810379
16/01/22,328981578
17/01/22,331759391
18/01/22,335523995
19/01/22,339607276
20/01/22,343341570
21/01/22,347151687
22/01/22,349801473
23/01/22,352184811
24/01/22,355817671
25/01/22,359471485
26/01/22,363233158
27/01/22,366932890
28/01/22,370611819
29/01/22,373175361
30/01/22,375352380
31/01/22,379211855
01/02/22,382341587
02/02/22,385526232
03/02/22,388720309
04/02/22,391675874
05/02/22,393779507
06/02/22,395542316
07/02/22,398516432
08/02/22,401116122
09/02/22,403549117
10/02/22,406363391
11/02/22,408788228
12/02/22,410513339
13/02/22,411919279
14/02/22,413962163
15/02/22,415832953
16/02/22,418072759
17/02/22,420135672
18/02/22,422119106
19/02/22,423596187
20/02/22,424789720
21/02/22,426495378
22/02/22,428169102
23/02/22,430086590
24/02/22,431874501
25/02/22,433528807
26/02/22,434802795
27/02/22,435854949
28/02/22,437463827
01/03/22,439062564
02/03/22,440722439
03/03/22,442497646
04/03/22,444260070
05/03/22,445550401
06/03/22,446660147
07/03/22,448401620
08/03/22,449985919
09/03/22,451976099
10/03/22,453847080
11/03/22,455719680
12/03/22,457280387
13/03/22,458418032
14/03/22,460415942
15/03/22,462225344
16/03/22,464464205
17/03/22,466542109
18/03/22,468433636
19/03/22,469913015
20/03/22,470873843
21/03/22,472753728
22/03/22,474730951
23/03/22,476534854
24/03/22,478319055
25/03/22,480078626
26/03/22,481203035
27/03/22,482053796
28/03/22,483898093
